,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,TimDraper,2013-05-14,This interviewer is masterful. https://t.co/aFXfH1Zj2a #bitcoin #drapervc #tesla #vcHunting https://t.co/aFXfH1Zj2a,Positive,-6.480003356899999,0.0,0.0
1,TimDraper,2013-05-14,Great interview with CryptoFinder https://t.co/pUEMgstXld #bitcoin #drapervc,Positive,-6.480003356899999,0.0,0.0
2,TimDraper,2014-07-19,Good interview #bitcoin #blockchain #drapervc https://t.co/LInDL4dVkO,Positive,-0.6510009766000167,7222030.0,-6936070.0
3,TimDraper,2014-12-01,One of my favorite interviews! @siliconvalleygirl @drapervc #decentralize #bitcoin #drapervc #viral https://t.co/Q82FNTU4x7,Positive,0.9960021973000153,11763000.0,2568560.0
4,TimDraper,2015-01-30,Great podcast. #bitcoin. https://t.co/cIBDVL5JhS https://t.co/cIBDVL5JhS,Positive,-6.347000121999997,26605200.0,-5608200.0
5,TimDraper,2015-06-16,Good interview with Israeli bitcoin media. @blocktv #bitcoin https://t.co/X2aUZJKMwZ,Positive,14.130004882899982,41612000.0,21699900.0
6,TimDraper,2015-11-17,"Really enjoyed my interview with @mayraceja007 on Venture Unplugged, podcast collaboration with @joinrepublic. Enjoy Part 1, where we discuss #bitcoin,... https://t.co/mpx4x6WJtv",Positive,4.731994628899997,51001600.0,3021500.0
7,TimDraper,2016-06-10,Nasdaq down 3.4% Dow down 2.9%. Bitcoin up 3.2%. Bitcoin may be a remarkable hedge. #bitcoin,Positive,1.6329956053999695,66991900.0,-4309100.0
8,TimDraper,2016-06-10,"Institutions should be comfortable to hold bitcoin soon. I evaluated Coinbase, Ledger, Anchorage, Bitgo, Casa, and Gemini for custody solutions. There is amazing security available. My coins are so well secured, I... https://t.co/oBipoi1hhI",Positive,1.6329956053999695,66991900.0,-4309100.0
9,TimDraper,2016-06-27,Great interview. https://t.co/xIbZGLUr1B. #drapervc #bitcoin https://t.co/xIbZGLUr1B,Positive,25.926025390700033,122134000.0,12909000.0
10,TimDraper,2017-12-18,The Wild West Show. Great guys in cowboy hats. Should’ve worn mine. https://t.co/r8ZWfVD7lm #freedom #memorialday #bitcoin #drapervc https://t.co/r8ZWfVD7lm,Positive,7.798828125,14839499776.0,1524899840.0
11,TimDraper,2018-01-13,This was a good interview. #drapervc #bitcoin #blockchain https://t.co/dYAdsLZtbJ https://t.co/dYAdsLZtbJ,Positive,407.7998046875,12763599872.0,697900032.0
12,TimDraper,2018-01-29,Good quick read. #competitivegovernments #bitcoin #drapervc https://t.co/zP1mpAikVG,Positive,-459.099609375,7107359744.0,-1243000320.0
13,TimDraper,2018-05-18,"After signing books for five hours, I had this interview. I think he did a great job capturing the moment. #bitcoin #blockchain #startuphero https://t.co/adIPIWZu1Z",Positive,159.1396484375,5764190208.0,-98339840.0
14,TimDraper,2018-05-24,OK. This is hilarious.  https://t.co/1tXulEz8fs #bitcoin #blockchain https://t.co/1tXulEz8fs,Positive,26.2197265625,6049220096.0,-441900032.0
15,TimDraper,2018-08-06,This is an interesting perspective. #bitcoin https://t.co/m8PPFihn6e,Positive,-111.13999999999942,3925900000.0,246790000.0
16,TimDraper,2018-08-10,Great Bitcoin interview in Forbes. https://t.co/7oFauKv1ce https://t.co/7oFauKv1ce,Positive,-386.71000000000004,4528680000.0,261640000.0
17,TimDraper,2018-10-14,More on Adam Draper launching a follow on fund for Bitcoin companies coming out of the Boost.vc accelerator -... http://t.co/CrEJRRF9Kz,Positive,2.4400000000005093,3085320000.0,21290000.0
18,TimDraper,2018-10-25,"Dell becomes the latest to support bitcoin payments http://t.co/YJOzz41SAo
Brilliant move by Michael Dell.",Positive,-8.359999999999673,3230550000.0,-194120000.0
19,TimDraper,2018-12-22,"Interview with StrictlyVC about Draper University, bitcoin, and the best advice I give my children... http://t.co/VRhVM68thw",Positive,116.09883717000002,5605823232.54427,-1600192473.9313202
20,TimDraper,2019-03-30,"Great Bloomberg interview with Adam Draper, Currency King. Bitcoin poised for a boom.... http://t.co/hNQ3QKgCwz",Positive,14.523921080000491,9732688060.4259,-1185977496.3250008
21,TimDraper,2019-06-02,Greece will certainly benefit from Bitcoin adoption. They will have a confidence currency and great entrepreneurs will flock to the country.,Positive,177.4848382399996,20266216022.1639,-2222087521.783203
22,TimDraper,2019-07-25,Worth attending this bitcoin discussion with amazing luminaries. https://t.co/82D9IXN00v,Positive,102.74535715999991,15821952090.4731,-1576782231.1575985
23,TimDraper,2019-07-27,More on India's awesome decision to be a part of the future. #bitcoin https://t.co/JicrNaaKZ0,Positive,-393.48731274999955,16817809536.373,2322095053.1434994
24,TimDraper,2019-08-06,Bitcoin VC Tim Draper: Blockchain is the Perfect Bureaucrat https://t.co/1GC3ePWCpj,Positive,-333.3756813,23635107659.8143,-240881172.52230072
25,TimDraper,2019-08-13,"My son, Adam sent this to me. Good description of Brexit. Bitcoin seems to be a good hedge against this scenario. https://t.co/8XdTLz2Ttz",Positive,-489.2220613999998,16681503536.9668,3034305307.9559
26,TimDraper,2019-09-14,Great article! Read it and understand what Bitcoin means to us.... https://t.co/QS97VKXzPw,Positive,12.645403000000442,13468713124.1199,-641151550.5853996
27,TimDraper,2019-10-20,"Hear my son interview me. We cover Bitcoin, VR, and other family matters. Awesome! If you like his style, join... https://t.co/OGXomIGphH",Positive,224.27123824000046,15504249442.1065,1706423801.8642006
28,TimDraper,2019-10-30,"Good Bitcoin article.
https://t.co/RzcET9My8w https://t.co/UEEBabKHBh",Positive,-216.73676635000083,27706531577.461,-720248359.9521027
29,TimDraper,2019-11-08,I will accept bitcoin for This: gorgeous apartment we owned in the SF marina. Check it out. https://t.co/YCrnMeBERo https://t.co/YCrnMeBERo,Positive,-460.4876180800002,24333037836.1548,1632653997.631401
30,TimDraper,2019-12-04,#bitcoin interview.  Great event. High excitement around #blockchain. https://t.co/RLwS6Ljw8O https://t.co/RLwS6Ljw8O,Positive,-68.09047977000046,21664240918.4506,6866755149.3507
31,TimDraper,2020-01-19,Interview from Helsinki. Bitcoin is awesome. https://t.co/Lfs8JlPhLF,Positive,-235.2006151300011,34217320471.3994,1879547844.600399
32,TimDraper,2020-03-05,"I would make education a market system, where parents could choose the school that is best for their child, and the money follows the parent (school vouchers). https://t.co/ZbcaaMqvsz #bitcoin #governance #politics #oneday",Positive,318.47775125000044,39698054597.4259,4951348229.279205
33,TimDraper,2020-03-07,"I would make education a market system, where parents could choose the school that is best for their child, and the money follows the parent (school vouchers). https://t.co/ZbcaaMqvsz #competitivegovernance #bitcoin #drapervc",Positive,-211.64688403000036,36216930369.6665,-4609955281.277306
34,TimDraper,2020-03-09,@drapervc companies doing great things to help #Covid-19. Interview about #bitcoin and the effects of the $2T bailout. https://t.co/P12oaZbys6,Positive,-187.50168833999942,46936995808.1849,6963893687.616699
35,TimDraper,2020-03-27,Great interview. #vc #bitcoin @drapervc https://t.co/8aO3CLetTe,Positive,-249.59083897999972,34585598366.5512,-734199274.9787979
36,TimDraper,2020-04-03,Here we go! Entrepreneurs and investors will be on the next flights to El Salvador. Brilliant government move. #freedom #trust #competitivegovernance ⁦@Bitcoin⁩ #bitcoin  https://t.co/RzCbfpBRnh,Positive,-64.00920123000014,38976504902.968,-8684141221.445297
37,TimDraper,2020-04-29,@GregAbbott_TX is making a statement to attract the entrepreneurs and bitcoiners #Bitcoin to Texas. Brilliant! https://t.co/0wCTYvFqpV,Positive,994.3252033299996,60201052202.5403,27013092281.6154
38,TimDraper,2020-05-20,@GregAbbott_TX is making a statement to attract the entrepreneurs and bitcoiners #Bitcoin to Texas. Brilliant.,Positive,-202.348208469999,36546239702.5477,-2708049252.4297028
39,TimDraper,2020-05-23,"According to @StatistaCharts, #Nigerians are 5 times more likely to have #bitcoin wallets than #Americans--34% vs 5%. #bitcoin=financial inclusion! And when Americans see the inflation our government has wrought, it should be awesome for #bitcoin.",Positive,24.22470032000092,27727866811.6695,-2082906887.557602
40,TimDraper,2020-07-03,Really interesting responses to the question of crypto and regulation. #bitcoin #freedom #trust https://t.co/FRFm0Gyz70,Positive,-37.53873508000106,13078970998.6402,-3259945797.3782005
41,TimDraper,2020-08-24,"Best researched interview ever. JAG from @TheAtlasSociety. Discussing #bitcoin #theranos #degov and my book ""How to be The Startup Hero."" https://t.co/K21Fy9EH5c",Positive,110.90628909999941,20681511754.5735,2199449096.7723007
42,TimDraper,2020-08-24,Elon is awesome. #bitcoin #freedom #trust . https://t.co/8ED3oKs2kb,Positive,110.90628909999941,20681511754.5735,2199449096.7723007
43,TimDraper,2020-09-14,Welcome to the leaders. Institutions buying COIN #bitcoin #freedom #trust  https://t.co/dwMPM8kChc,Positive,352.1033212000002,35453581939.7213,-1053270849.5826035
44,TimDraper,2020-10-01,Great leaders are leading to #bitcoin #bitcoincities #freedom #trust #competitivegovernance https://t.co/2xggGYEEKf,Positive,-175.80283486999906,40023134099.56767,-4147939600.619072
45,TimDraper,2021-01-15,"NIce article by @foundr about @drapervc, #bitcoin, etc. https://t.co/MrIqz1ugrP",Positive,-2331.3422344899955,67760757880.723885,4144767847.7137146
46,TimDraper,2021-01-25,"Should be awesome. 100,000 people. Join us. #trust #freedom #bitcoin https://t.co/iNXnEpCDUI",Positive,80.59413542000038,59897054837.94314,11253224238.581573
47,TimDraper,2021-02-04,BBB just printed $1.7 Trillion. The dollar is looking like the confederate dollar used to look. #Bitcoin looking even better. #hedgeagainstinflation,Positive,-549.0395640000061,68838074391.61,7671256232.779999
48,TimDraper,2021-02-09,Great perspectives on NFTs and where they can go. #bitcoin #nft #crypto https://t.co/yc93bJDZUJ,Positive,296.1127698700002,91809846885.69,-9657375800.979996
49,TimDraper,2021-02-12,"Good to see @elonmusk  reengaging with Bitcoin. I expect he will find #bitcoin to be far greener than the banks. Also, more #free and more #trustworthy. Also, @Jack Dorsey is awesome. And @CathieDWood is brilliant. Delightful to see them all together discussing #bitcoin future.",Positive,-372.1831912500056,76555041195.79,-4833870614.060013
50,TimDraper,2021-03-04,More on my son @adamdraper launching a follow on fund for #Bitcoin companies coming out of the @boostvc accelerator. http://t.co/qIxHw76rbj,Positive,-1961.1388764600051,52343816679.73,-876995294.8299942
51,TimDraper,2021-04-01,So awesome. @cryptio_co a @DraperVC portco opens the world to #bitcoin accounting. Now governments can rest assured they will get tax revenues from businesses that operate in bitcoin. https://t.co/J5LwnySOoU,Positive,169.2438307199991,61669163792.39,-3851662433.0
52,TimDraper,2021-04-08,3-4:00 pm pacific time. Should be a good panel on #Bitcoin  https://t.co/NlxsAlCe0A,Positive,2224.040468970001,53053855641.35,-22591447942.260002
53,TimDraper,2021-04-10,This was interesting. #covid19 #bitcoin https://t.co/UUy8ia9CKJ,Positive,1539.4586012299987,58238470525.26,11583261979.550003
54,TimDraper,2021-04-29,Interesting interview with ET in India. #bitcoin https://t.co/Rjqt60fFLe,Positive,-1302.9830008900026,46088929779.74,-1911643175.040001
55,TimDraper,2021-06-05,Great introduction to DeFi. https://t.co/kHMFrrFwpY #bitcoin #DeFi #drapervc,Positive,-1328.1972446500004,35959473399.07,-5871616787.540001
56,TimDraper,2021-06-06,"Great fun talk: #bitcoin #drapervc #AIShowBiz Summit YouTube Channel at:

https://t.co/LhqTpFmcjG",Positive,323.7689974899986,28913440584.92,-7046032814.150002
57,TimDraper,2021-06-07,Amazing interview! This time edited: @siliconbeachmobilestartup #drapervc #bitcoin https://t.co/t3ospweJro,Positive,-2274.5576719900055,33683936663.24,4770496078.3200035
58,TimDraper,2021-06-21,"@sarahaustin interviewed me for this great article @Entrepreneur. Retailers will save 2-4% by taking Bitcoin with @OpenNodeCo . In a few years, there will be no reason to use Dollars. #bitcoin #crypto",Positive,-3964.4523322000023,52809038593.79,16145004539.379997
59,TimDraper,2021-06-23,BOTS TV Interview. https://t.co/NrusQUq6Mu. Great fun. More about robots than battle of the sexes. Also #bitcoin #degov,Positive,1207.3146749100015,46317108924.69,-12647244133.61
60,TimDraper,2021-07-22,Great interview with @sarahaustin for @Entrepreneur about how retailers will save 2-4% by accepting #bitcoin through @OpenNodeCo  https://t.co/YQgIcwo0Qj,Positive,174.23351702999935,19555230517.6,-8647794041.140003
61,TimDraper,2021-07-22,Interview with CK. We get into #covid #bitcoin #unicorns #defi #degov #freedom. Good discussion.  https://t.co/Em7xHZ08h7,Positive,174.23351702999935,19555230517.6,-8647794041.140003
62,TimDraper,2021-08-19,#bitcoin !! Good to hear these predictions includes ⁦@BoostVC⁩ ⁦@AdamDraper⁩ and #BCH  @RogerVer  https://t.co/mN7MOe3Cn8,Positive,1975.6953977800003,37204312298.94,5010189223.600002
63,TimDraper,2021-10-01,This is the best interview on #Bitcoin I have seen. I would call it required viewing for anyone who would like to better understand what is going on.  https://t.co/BAOg06kq90,Positive,4300.200573728798,42850641581.55,11708959656.110004
64,TimDraper,2021-11-12,@link_up_show interview. He asked some good questions. We cover #bitcoin #globalization #VC and more.  https://t.co/eV0qcd5F7L,Positive,-708.0385099913983,36084893887.38,204260651.73999786
65,TimDraper,2021-11-17,"Talking with @LILBTHEBASEDGOD , the rapper about #Bitcoin . Incredibly entertaining. Spoiler: We both rap. https://t.co/RSVIelQBcq",Positive,228.39170750199992,39178392930.24,-7665942661.410004
66,TimDraper,2021-11-19,A delightful 42 minutes. I hope you enjoy it as much as I did. @NextGenHQ #Bitcoin @drapervc #degov  https://t.co/6t11Xfp0wD,Positive,1223.4475136284964,38702407772.13,-2685930927.1100006
67,TimDraper,2021-12-14,"Freaking awesome interview. ""Anything is Possible"" is an amazing show. #drapervc #bitcoin #degov #defi https://t.co/3cKZpajiLh",Positive,-97.1889521967023,34638619079.14,2471891302.880001
68,TimDraper,2021-12-15,Great article @valleygirlshow! http://t.co/TrbTcxKx via @newsle,Positive,516.9666013746973,36541828519.8,1903209440.6600037
69,TimDraper,2018-12-14,Why has the world gone mad? Read this for some answers. #bitcoin https://t.co/60i9ZUjOEi https://t.co/60i9ZUjOEi,Negative,-69.2671508999997,4372763663.29151,-4343372456.24872
70,TimDraper,2020-06-17,The big givaway. The worst policy decision in history. Bitcoin at $250k. This one has it all. #drapervc #degov #bitcoin https://t.co/Ywqq6UMG4I,Negative,-53.52838476999932,20177709879.1518,-21565537208.8567
71,TimDraper,2013-05-14,"Company Spends Real Money — $350,000 Worth — On Bitcoin Startups | Wired Business | http://t.co/ArELzl8uTF http://t.co/WvBCrJusnj",Neutral,-6.480003356899999,0.0,0.0
72,TimDraper,2013-05-14,Boost.vc incubator for Bitcoin. My son Adam is lighting up the payment world with Bitcoin start ups joining his... http://t.co/YJQP5OJ9W7,Neutral,-6.480003356899999,0.0,0.0
73,TimDraper,2013-09-16,"3 days in the Valley with Liz Claman. A lot of interest in Bitcoin, Draper University, Drones: http://t.co/ZCZy0H9o2W",Neutral,0.8600006103000055,0.0,0.0
74,TimDraper,2013-11-26,Great cause: https://t.co/u0Q16wN6hW raising bitcoins for the Philippines and donating 100% of the wallet to the Philippines Red Cross.,Neutral,122.36999511709996,0.0,0.0
75,TimDraper,2014-01-15,Bitcoins and Hong Kong... http://t.co/PLQSm4ouuX,Neutral,27.78002929690001,28107200.0,-20829800.0
76,TimDraper,2014-01-25,Why Bitcoin Matters http://t.co/jGyKVtk9at . Marc Andreessen is right on. I add that Bitcoin is a currency of confidence for some countries.,Neutral,57.369995117200006,24303900.0,-34912000.0
77,TimDraper,2014-01-25,Marc Andreessen is right on with this article on Bitcoin. He could also add that at this moment many people of... http://t.co/lgUMR6IyVw,Neutral,57.369995117200006,24303900.0,-34912000.0
78,TimDraper,2014-04-15,Bitcoin Interview on @Bloomberg. Boost.vc for bitcoin accelerator. Drapercoin for Draper University of Heroes. http://t.co/dgisIUYLOh,Neutral,57.21301269540004,49561000.0,-50730200.0
79,TimDraper,2014-07-02,Tune into a live stream at 2pm Pacific Time to learn more about Bitcoin and the Bitcoin auction: http://t.co/6wTu5Ir0vu,Neutral,9.842041015599989,25768200.0,-38446300.0
80,TimDraper,2014-07-02,Tune into a live stream at 2pm Pacific Time to learn more about Bitcoin and the Bitcoin auction. http://t.co/2KeriLXOhJ,Neutral,9.842041015599989,25768200.0,-38446300.0
81,TimDraper,2014-07-04,Venture capitalist Draper wins U.S. bitcoin auction http://t.co/mSMPG9lVPS,Neutral,-13.953979492200006,22237200.0,-18949000.0
82,TimDraper,2014-07-04,Silk Road Auction Winner Tim Draper: World Should Embrace Bitcoin http://t.co/vXdXEFEtYj,Neutral,-13.953979492200006,22237200.0,-18949000.0
83,TimDraper,2014-07-04,Good to see the Bank of Russia and major retailers accepting Bitcoin. http://t.co/47JoQHzci3,Neutral,-13.953979492200006,22237200.0,-18949000.0
84,TimDraper,2014-07-04,Bitcoin Picks: Another Major E-tailer Implements BitPay as Bank of Russia Flip Flops | Forex Magnate http://t.co/fhbTTr9Ep5 via @newsle,Neutral,-13.953979492200006,22237200.0,-18949000.0
85,TimDraper,2014-07-04,What is your Bitcoin strategy? http://t.co/4ch7Vyp1xD,Neutral,-13.953979492200006,22237200.0,-18949000.0
86,TimDraper,2014-07-04,"Bitcoin may have finally reached a tipping point http://t.co/4C4marPXQ2 via @YahooNews
What is your Bitcoin strategy?",Neutral,-13.953979492200006,22237200.0,-18949000.0
87,TimDraper,2014-07-08,"CNBC interview on Bitcoin, Draper University and New Venture Capital. http://t.co/BITzcYoPNn",Neutral,2.247985839900025,10005500.0,-17813600.0
88,TimDraper,2014-08-01,ICYMI: Gliph brought Bitcoin back to the App Store last week. I love where these guys are going w Bitcoin: https://t.co/DHOXaqKBN5 @gli_ph,Neutral,8.713989257799994,18215900.0,-22467900.0
89,TimDraper,2014-08-08,Bidding on Bitcoin http://t.co/50oznw2iIx,Neutral,3.7020263672000056,11072000.0,-11131400.0
90,TimDraper,2014-09-27,My outlook for Bitcoin. http://t.co/QkAzBZLRWv,Neutral,-4.0360107422000056,15029300.0,-21460800.0
91,TimDraper,2014-10-01,ZapChain is the fastest growing network for Bitcoin professionals. At least one person from every major Bitcoin... http://t.co/g0IYvskS4F,Neutral,-3.812011718699978,26229400.0,-34707300.0
92,TimDraper,2014-10-06,Free Bitcoin Course! Draper University of Heroes Online cc: @draper_u @zapchain http://t.co/kXgWEycZh1 #TheBitcoinCourse,Neutral,9.690002441399997,79011800.0,-83308096.0
93,TimDraper,2014-10-06,Free Bitcoin Course: Draper University of Heroes on line http://t.co/Dvi31U79xE http://t.co/jM1gKjPTER,Neutral,9.690002441399997,79011800.0,-83308096.0
94,TimDraper,2014-10-07,Spoke on Bitcoin and Cash burn http://t.co/OznjrMoa54,Neutral,5.6029968262000125,49199900.0,-79011800.0
95,TimDraper,2014-10-09,Forget the Bitcoin Price - These Are the Trends That Matter http://t.co/1az2Ik2p9Z via @newsle,Neutral,12.278015136800036,83641104.0,-54736300.0
96,TimDraper,2014-10-09,Forget the Bitcoin Price - These Are the Trends That Matter http://t.co/oTDivOgiOq,Neutral,12.278015136800036,83641104.0,-54736300.0
